nfdi_uri,label,year,parentLabel,subjects
https://www.deckenmalerei.eu/1e3c691c-593c-49ef-a45d-2b904f9b091f,"München, Schloss Harlaching",nach 1700,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1e57fd75-2734-4329-af4f-c63a748d5acc,"Brühl, Schloss Augustusburg",1725-1768,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1e5bb461-5584-49ee-954a-97bd56c3e15d,"Hösseringen, Museumsdorf Hösseringen",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1e7340f7-6d8d-41e3-a11b-3bd02fc57e13,"Mühlberg/Elbe, Martinskirchen, Rittergut",1754-1756,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1e7d2aad-dee9-4cb0-b741-8269c565441c,"Reisgang, Kapelle Mariä Heimsuchung",1659,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1ea2f7a5-7811-4547-a7de-ea3f4e215d1b,"Bruckberg, Schlosskirche St. Nikolaus",Barockisierung der spätgotischen Anlage: 1750-1770 ,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1ea5d6a5-8032-47de-9acd-6aa21b1534e9,"Pähl, Pfarrkirche St. Laurentius","1596,  1612, 1723-1734",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1ee3e2d5-8af9-41ac-bc54-f1e07202f315,"München, Turnierhaus im Hofgarten der Residenz",1660/1661,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1f08aeaf-4e46-40bb-967c-d879cd2b3780,"Flensburg, ehem. Haus Große Straße 41",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1f39f266-17a2-4ea7-8a93-614015b0117d,"Romenthal, Kapelle St. Anna",1756/1757,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1f455bf9-168f-49f1-a26c-1ba617bdc3dd,"Hamburg, Zollenspieker Fährhaus",1621-1622,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1f8a7fdc-cdb1-4d0b-a5d1-0009d85a2e8a,"Markt, Schlosskapelle St. Johannes der Täufer",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1fc5e22f-8b7d-456c-b47a-68e11653ccdf,"Pirna, Lange Straße 30",spätgotische Zeit (vor dem 16. Jahrhundert),,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/201b89f7-a10f-451c-9455-e84c1fae8f03,"Deutenhausen, Filialkirche St. Johann Baptist","1668, 1709, 1747",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/2020324b-d8de-43c5-86cb-06e0ffb404ee,"Unterlind, Gut",1710,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/205c1be8-28a0-407e-8531-17abcd3053f7,"Petzenhausen, Pfarrkirche St. Peter und Paul","spätgotisch, um 1750",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/20d863c4-44f8-43fe-a5f6-65aea39b730d,"Aurach, Kapelle",18. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/21028ecc-a736-4b32-be0b-fd3fdcc9390a,"Leutenberg, ehem. Schloss ""Friedensburg""",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/216c5988-c695-41d0-b370-de46d88ccad3,"Rudolstadt, Residenzschloss Heidecksburg","1573-1616, 1736-1770",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/21fcf693-b536-495f-8c82-8d041d5a3a32,"Pappenheim, Altes Schloss",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/22e4e2e7-457e-4968-a9be-24cd883a7d77,"Bayreuth, Markgräfliches Opernhaus",1746-1750,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/22f3eb57-c024-4650-9ed8-217dbc4179c0,"München, Kapelle des ehem. Instituts der Englischen Fräulein",1691-1697,,http://vocab.getty.edu/aat/300004792
